repository	remote	branch	commit	commit_date	subject	shallow	submodules	acquired_utc	local_path
k	https://github.com/runtimeverification/k	master	4a46d1231473b599c699160132fd6e76a5c46406	2026-06-18T12:57:56Z	Set Version: 7.1.337	true	not initialized (haskell-backend 38afc81f, llvm-backend f02284f0, web/k-web-theme f022ffcb recorded)	2026-09-03T14:12:08Z	repos/runtimeverification/k
arc-zkir	https://github.com/input-output-hk/arc-zkir	main	fd1c24e1bc73e167dbfdacfd59f2cbeb4ad3a4f9	2026-08-26T16:01:32+01:00	Audit foreign-curve (Secp256k1/Secp256r1/Curve25519) point validity gates (#80)	false	none	2026-09-03T14:15:22Z	repos/input-output-hk/arc-zkir
